specimen_id,n_steel_mesh,ultimate_load_kn,mean_abs_error,min_abs_error,max_abs_error,error_range_kN,n_feature_sets_over_hard_threshold,best_feature_set_label,best_model_name,best_abs_error,best_prediction,worst_feature_set_label,worst_model_name,worst_abs_error,worst_prediction,gap_class,specimen_label
F03,4,2.39,0.5970978407608161,0.5286897557152856,0.654010423097215,0.12532066738192937,7,metadata+HSV,Ridge,0.5286897557152856,1.8613102442847145,HSV-only,CatBoost,0.654010423097215,1.735989576902785,persistent_hard,F03 | mesh 4 | actual 2.39 kN
S2SA02,7,2.87,0.4757589899257459,0.4180285749727814,0.5381872521849562,0.12015867721217482,7,RGB-only,CatBoost,0.4180285749727814,2.4519714250272187,HSV-only,CatBoost,0.5381872521849562,2.331812747815044,persistent_hard,S2SA02 | mesh 7 | actual 2.87 kN
S5VF01,7,2.75,0.47469334175769046,0.351461994088126,0.6142949791260159,0.26283298503788993,7,metadata+RGB+HSV,CatBoost,0.351461994088126,2.398538005911874,RGB-only,CatBoost,0.6142949791260159,2.135705020873984,persistent_hard,S5VF01 | mesh 7 | actual 2.75 kN
G03,4,1.6,0.3798736316889055,0.2798939187333868,0.5780593367667177,0.2981654180333309,7,metadata+RGB,Ridge,0.2798939187333868,1.879893918733387,metadata+RGB+HSV,CatBoost,0.5780593367667177,2.178059336766718,persistent_hard,G03 | mesh 4 | actual 1.60 kN
S2SA05,7,2.76,0.370225288760349,0.313406767500223,0.4433458679511677,0.1299391004509447,7,RGB-only,CatBoost,0.313406767500223,2.446593232499777,metadata+RGB,Ridge,0.4433458679511677,2.316654132048832,persistent_hard,S2SA05 | mesh 7 | actual 2.76 kN
S1MI07,7,2.1,0.31157716237196215,0.2319207939212018,0.3865343935969307,0.1546135996757289,6,HSV-only,CatBoost,0.2319207939212018,2.331920793921202,RGB+HSV,CatBoost,0.3865343935969307,2.486534393596931,mostly_hard,S1MI07 | mesh 7 | actual 2.10 kN
S3PA02,7,2.84,0.2983387422015588,0.0115512705628191,0.5223864122711777,0.5108351417083585,4,metadata+HSV,Ridge,0.0115512705628191,2.8284487294371807,HSV-only,CatBoost,0.5223864122711777,2.317613587728822,approach_sensitive,S3PA02 | mesh 7 | actual 2.84 kN
F05,4,1.6,0.2816120091797975,0.0930663215397293,0.4335889488110687,0.3405226272713394,4,HSV-only,CatBoost,0.0930663215397293,1.6930663215397297,metadata+RGB,Ridge,0.4335889488110687,2.0335889488110688,approach_sensitive,F05 | mesh 4 | actual 1.60 kN
S2SA07,7,2.26,0.28022175930052545,0.0222938543415898,0.5208688485301414,0.49857499418855156,4,RGB-only,CatBoost,0.0222938543415898,2.2822938543415896,metadata+RGB,Ridge,0.5208688485301414,2.780868848530141,approach_sensitive,S2SA07 | mesh 7 | actual 2.26 kN
S3PA04,7,2.85,0.2561864132986112,0.0110178978571666,0.4210693668179717,0.4100514689608051,4,metadata+HSV,Ridge,0.0110178978571666,2.8389821021428334,RGB-only,CatBoost,0.4210693668179717,2.4289306331820284,approach_sensitive,S3PA04 | mesh 7 | actual 2.85 kN
G02,4,2.25,0.2377722311640175,0.1027605105855054,0.3069570679593689,0.2041965573738635,4,metadata+HSV,Ridge,0.1027605105855054,2.1472394894144946,metadata+RGB+HSV,CatBoost,0.3069570679593689,1.943042932040631,approach_sensitive,G02 | mesh 4 | actual 2.25 kN
D03,4,1.64,0.41676715813419324,0.1754350299138687,0.8904693089991909,0.7150342790853221,3,metadata-only,Ridge,0.1754350299138687,1.8154350299138688,RGB-only,CatBoost,0.8904693089991909,2.5304693089991908,approach_sensitive,D03 | mesh 4 | actual 1.64 kN
S4SAVF02,7,2.46,0.2945626009086313,0.1042852845631419,0.5927935738228136,0.4885082892596717,3,metadata+RGB+HSV,CatBoost,0.1042852845631419,2.355714715436858,RGB-only,CatBoost,0.5927935738228136,1.8672064261771864,approach_sensitive,S4SAVF02 | mesh 7 | actual 2.46 kN
E05,4,1.64,0.2436054424198602,0.1725075629938601,0.3041811608783471,0.13167359788448701,3,metadata+HSV,Ridge,0.1725075629938601,1.81250756299386,RGB+HSV,CatBoost,0.3041811608783471,1.944181160878347,stable,E05 | mesh 4 | actual 1.64 kN
